date,temperature,windspeed,precipitation
2007-11-03,10.2,18.1,0.0
2007-11-10,10.4,37.6,0.0
2007-11-17,5.7,15.7,0.2
2007-11-24,1.8,16.2,0.0
2007-12-01,8.1,45.3,0.0
2007-12-08,6.9,29.8,0.9
2007-12-15,2.7,30.6,0.0
2007-12-22,5.8,19.6,0.0
2007-12-29,6.8,41.7,0.0
2008-01-05,7.0,39.4,0.0
2008-01-12,3.7,28.4,0.0
2008-01-19,11.9,48.3,0.0
2008-01-26,7.6,36.7,0.0
2008-02-02,1.4,24.8,0.0
2008-02-09,6.8,20.1,0.0
2008-02-16,1.9,30.7,0.0
2008-02-23,9.2,27.2,0.0
2008-03-01,8.5,37.6,0.0
2008-03-08,8.5,35.3,0.0
2008-03-15,9.9,21.1,0.0
2008-03-22,4.0,60.1,0.0
2008-03-29,8.5,36.7,0.0
2008-04-05,7.4,24.6,0.0
2008-04-12,8.6,35.3,0.0
2008-04-19,7.4,37.9,0.4
2008-04-26,13.3,18.6,0.0
2008-05-03,13.1,20.9,0.0
2008-05-10,17.9,12.6,0.0
2008-05-17,11.7,18.8,0.8
2008-05-24,16.5,33.8,0.0
2008-05-31,16.5,5.5,0.0
2008-06-07,14.4,20.2,0.0
2008-06-14,12.8,13.5,0.0
2008-06-21,16.2,19.8,0.0
2008-06-28,17.5,30.9,0.0
2008-07-05,16.5,31.0,0.0
2008-07-06,15.8,44.5,0.0
2008-07-12,14.1,23.3,0.0
2008-07-19,16.5,37.4,0.2
2008-07-26,19.2,9.1,0.0
2008-08-02,17.0,27.5,0.0
2008-08-09,16.7,32.6,0.0
2008-08-16,16.4,27.1,0.0
2008-08-23,14.6,17.1,0.0
2008-08-30,19.0,26.5,0.0
2008-09-06,14.5,49.7,0.3
2008-09-13,13.4,7.5,0.0
2008-09-20,14.3,18.1,0.0
2008-09-27,13.3,14.1,0.0
2008-10-04,10.3,31.0,0.0
2008-10-11,14.8,16.9,0.0
2008-10-18,11.2,18.4,0.0
2008-10-25,10.7,26.7,0.0
2008-11-01,7.0,42.9,0.5
2008-11-08,11.0,51.5,0.6
2008-11-15,11.4,26.9,0.0
2008-11-22,4.4,32.0,0.0
2008-11-29,3.6,24.8,0.2
2008-12-06,3.5,24.1,0.0
2008-12-13,6.3,60.5,1.2
2008-12-20,10.7,35.1,0.0
2008-12-27,2.2,39.6,0.0
2009-01-03,-0.2,27.3,0.0
2009-01-10,-1.7,3.1,0.0
2009-01-17,7.8,40.5,0.3
2009-01-24,1.6,19.3,0.0
2009-01-31,3.7,41.7,0.0
2009-02-07,-1.0,28.8,0.0
2009-02-14,0.9,14.7,0.0
2009-02-21,5.2,12.1,0.0
2009-02-28,6.7,3.0,0.0
2009-03-07,7.2,11.6,0.0
2009-03-14,9.9,27.7,0.0
2009-03-21,6.4,8.0,0.0
2009-03-28,5.6,37.0,0.0
2009-04-04,9.3,20.2,0.2
